iter	Logloss
0	0.5914865259
1	0.5136870326
2	0.4543176214
3	0.4111314576
4	0.3795819474
5	0.3538755961
6	0.3350302051
7	0.3209112241
8	0.3106453569
9	0.3015781021
10	0.2956677291
11	0.2896566937
12	0.2863966304
13	0.2829035301
14	0.2803145069
15	0.2781167014
16	0.2763775395
17	0.274969833
18	0.2735515205
19	0.2724785931
20	0.2714960819
21	0.2708129539
22	0.2700216482
23	0.2695331976
24	0.2693263264
25	0.2687900532
26	0.2686806266
27	0.2679558153
28	0.2678914379
29	0.2678239486
30	0.267761159
31	0.2676541457
32	0.2674369013
33	0.2672006041
34	0.2671852137
35	0.2670916432
36	0.2670713837
37	0.2670435454
38	0.2670360725
39	0.2670235611
40	0.2670116849
41	0.2669705096
42	0.2669589933
43	0.2669041635
44	0.2665528085
45	0.2664483991
46	0.2664374543
47	0.2663840641
48	0.2663289168
49	0.266268604
50	0.2662595222
51	0.2661363775
52	0.2661005582
53	0.2659771171
54	0.2659763974
55	0.2659341001
56	0.2659062407
57	0.2658644727
58	0.2658380528
59	0.2658050702
60	0.2656992848
61	0.2656644182
62	0.2656406656
63	0.2656402634
64	0.2653923228
65	0.2653899095
66	0.265387729
67	0.2653849346
68	0.2653849346
69	0.2653848711
70	0.2653835162
71	0.2653835374
72	0.2653834738
73	0.2653619018
74	0.2653618595
75	0.2653611185
76	0.265360928
77	0.2653434418
78	0.2653434206
79	0.2653148625
80	0.2652977362
81	0.2652304374
82	0.2651864678
83	0.2651621437
84	0.2651570206
85	0.2651514741
86	0.2651511777
87	0.2651454407
88	0.2651446574
89	0.2651435778
90	0.2651434296
91	0.2651339455
92	0.2651263456
93	0.2649478207
94	0.2648772618
95	0.2648765208
96	0.2648641365
97	0.2648639672
98	0.2647304704
99	0.2646041291
100	0.2645924646
101	0.2645852245
102	0.2645843777
103	0.2644171575
104	0.2643770408
105	0.2643760034
106	0.2643700336
107	0.2643693773
108	0.2643678107
109	0.2643668158
110	0.2643581361
111	0.2641207169
112	0.2640952285
113	0.2640766626
114	0.2640279086
115	0.2639458756
116	0.2639029644
117	0.2639020118
118	0.2638879974
119	0.263887447
120	0.2638821334
121	0.2637926487
122	0.2637918654
123	0.2637917384
124	0.2637727067
125	0.2637702299
126	0.2637697853
127	0.263584846
128	0.2635718054
129	0.2634921858
130	0.2634751018
131	0.263465279
132	0.2630346854
133	0.2630334788
134	0.263013812
135	0.2629951826
136	0.2629916684
137	0.262990991
138	0.2629841955
139	0.262730412
140	0.2627299463
141	0.2626155871
142	0.2626142745
143	0.2626139993
144	0.2625868385
145	0.2625189893
146	0.2625188199
147	0.2625186082
148	0.2625182907
149	0.262517211
150	0.2625024134
151	0.2625016512
152	0.2624976078
153	0.2624324684
154	0.262428933
155	0.2624288272
156	0.262428679
157	0.2624274511
158	0.2624272394
159	0.2624235347
160	0.2624230266
161	0.2624125688
162	0.2624125264
163	0.2624123571
164	0.2624122089
165	0.262410981
166	0.2624106635
167	0.2624105365
168	0.2624105153
169	0.262410473
170	0.2623938547
171	0.26239377
172	0.2623924363
173	0.2623807929
174	0.2623805812
175	0.2623802637
176	0.2623040101
177	0.2623036713
178	0.2623034597
179	0.2623022741
180	0.2622985271
181	0.2621430138
182	0.2621419553
183	0.262140918
184	0.262003272
185	0.262003018
186	0.2619947194
187	0.2619944654
188	0.2619944019
189	0.2619942325
190	0.261993915
191	0.261993915
192	0.2619937879
193	0.2619936186
194	0.2619935551
195	0.2619934704
196	0.2619930893
197	0.2619930258
198	0.2619929411
199	0.2619928776
200	0.261992793
201	0.2619925177
202	0.2619924119
203	0.2619467275
204	0.2618978041
205	0.2618977829
206	0.2618977194
207	0.261897042
208	0.2618962799
209	0.2616062961
210	0.2615638506
211	0.2615638295
212	0.2615636389
213	0.2615636389
214	0.261563279
215	0.2615632579
216	0.2615632579
217	0.2615632579
218	0.2615591086
219	0.2615587487
220	0.2615587275
221	0.2615587064
222	0.2615587064
223	0.2613971809
