iter	Passed	Remaining
0	96	48012
1	667	166156
2	1798	297959
3	2110	261697
4	2153	213196
5	10958	902282
6	11132	784039
7	11174	687244
8	11345	618933
9	11518	564422
10	11581	514865
11	20509	834054
12	20538	769414
13	20582	714502
14	20889	675412
15	20917	632746
16	20977	595998
17	21074	564335
18	30010	759729
19	34487	827710
20	34658	790551
21	34690	753725
22	35276	731608
23	36416	722269
24	36452	692593
25	36548	666312
26	36580	640833
27	45499	766985
28	45523	739359
29	45548	713594
30	45584	689651
31	45612	667077
32	45778	647840
33	46085	631641
34	46107	612573
35	46134	594626
36	46166	577707
37	46226	562022
38	46249	546687
39	46276	532181
40	46305	518391
41	46342	505349
42	46380	492929
43	46481	481721
44	47066	475892
45	47100	464857
46	47127	454233
47	47159	444086
48	47218	434607
49	47251	425263
50	47276	416216
51	47316	407651
52	47344	399302
53	48480	400409
54	48503	392438
55	48567	385071
56	48601	377723
57	48766	371637
58	48794	364719
59	48895	358565
60	48923	352090
61	48958	345868
62	48987	339800
63	49009	333876
64	57951	387826
65	57975	381232
66	58000	374837
67	58028	368651
68	58050	362607
69	58073	356739
70	58100	351058
71	58124	345514
72	58145	340113
73	58172	334885
74	58195	329773
75	58219	324805
76	58242	319957
77	58270	315258
78	58292	310646
79	58323	306198
80	58350	301836
81	58930	300403
82	59029	296567
83	59063	292504
84	59104	288569
85	59145	284722
86	59166	280868
87	59262	277454
88	59291	273808
89	59324	270258
90	59346	266733
91	59382	263348
92	59411	260004
93	59472	256872
94	59776	254837
95	59799	251657
96	59860	248699
97	59883	245644
98	59916	242690
99	62168	248672
100	62210	245763
101	62244	242876
102	62266	239998
103	66738	254121
104	66767	251171
105	66796	248280
106	66837	245487
107	66864	242692
108	66890	239945
109	66922	237269
110	66951	234631
111	67533	233955
112	67560	231380
113	67587	228847
114	67894	227299
115	67954	224953
116	68122	223000
117	68148	220617
118	68206	218376
119	68235	216080
120	68260	213807
121	68303	211627
122	68331	209437
123	68360	207285
124	68419	205259
125	68462	203213
126	68489	201155
127	69074	200746
128	69383	199543
129	86442	246029
130	86474	243581
131	86518	241201
132	103539	285705
133	103566	282874
134	103665	280281
135	103698	277546
136	103725	274834
137	103758	272176
138	103799	269580
139	120867	310802
140	120895	307812
141	137981	347870
142	138009	344541
143	138037	341259
144	139175	340739
145	156232	378810
146	156261	375240
147	156292	371722
148	156324	368254
149	156356	364831
150	156662	362087
151	156688	358733
152	156748	355502
153	173796	390478
154	173837	386929
155	173861	383386
156	173885	379889
157	173918	376457
158	173946	373054
159	173970	369687
160	174003	366379
161	174102	363251
162	174127	360005
163	174151	356797
164	174179	353636
165	174221	350542
166	174253	347463
167	174281	344412
168	174313	341407
169	174337	338418
170	174380	335504
171	174405	332587
172	174441	329724
173	175021	327914
174	175066	325122
175	175098	322341
176	184006	335786
177	184043	332933
178	184080	330111
179	184114	327314
180	184156	324563
181	193016	337247
182	193080	334461
183	193112	331650
184	195311	332558
185	195346	329777
186	195666	327506
187	195708	324793
188	195735	322083
189	195773	319419
190	195821	316799
191	195843	314165
192	195872	311569
193	195900	308997
194	195923	306444
195	195949	303922
196	195977	301427
197	196003	298954
198	196027	296503
199	196051	294077
200	196078	291678
201	196108	289308
202	196133	286953
203	197298	286275
204	197887	284764
205	197909	282453
206	197933	280167
207	197975	277926
208	198007	275694
209	214841	296686
210	217044	297278
211	217068	294885
212	217101	292526
213	217124	290175
214	217150	287851
215	217172	285541
216	217194	283254
217	217218	280989
218	217259	278766
219	217285	276545
220	217308	274340
221	217332	272154
222	217355	269988
223	234085	288426
