iter	RMSE
0	0.4664224133
1	0.4516959681
2	0.4384393258
3	0.425797404
4	0.4121966376
5	0.3999803595
6	0.3893791531
7	0.3789983736
8	0.3694806883
9	0.360229663
10	0.3510608165
11	0.3428297864
12	0.3351160981
13	0.3272162441
14	0.3196245696
15	0.3125506654
16	0.3062362435
17	0.3007290372
18	0.2953585813
19	0.2898183983
20	0.2853575841
21	0.2804849712
22	0.2758596219
23	0.2715268229
24	0.2673968755
25	0.2639821334
26	0.2597546544
27	0.2564188205
28	0.253157068
29	0.2499440674
30	0.2468721228
31	0.2439308473
32	0.2414438741
33	0.2388607305
34	0.2365743551
35	0.2343406871
36	0.2319871528
37	0.2296505075
38	0.2277711682
39	0.2259881498
40	0.2244026205
41	0.2225452662
42	0.2207289537
43	0.2190954167
44	0.2175303539
45	0.2165310307
46	0.2150672693
47	0.2140485248
48	0.2128279046
49	0.2116818083
50	0.2107072997
51	0.2100117881
52	0.2088692514
53	0.2076831789
54	0.2067176874
55	0.2057967728
56	0.204792289
57	0.2040356062
58	0.2033236766
59	0.2025577557
60	0.2018290647
61	0.2010092018
62	0.2004589227
63	0.1997091092
64	0.1990175141
65	0.1983381447
66	0.1975745553
67	0.1968426783
68	0.1962599274
69	0.1955554832
70	0.1949990061
71	0.1943812365
72	0.1938596044
73	0.1934424325
74	0.1929331917
75	0.1925646906
76	0.1921054875
77	0.1916505699
78	0.1912474705
79	0.190633226
80	0.1902609411
81	0.1897787137
82	0.1892570663
83	0.1887695262
84	0.1883607932
85	0.1879721433
86	0.1875500398
87	0.1870847731
88	0.1865410467
89	0.1861998357
90	0.1859099896
91	0.1854967396
92	0.185085565
93	0.184654087
94	0.1843118919
95	0.1840512987
96	0.1833997965
97	0.183002616
98	0.1826729411
99	0.1823561496
100	0.1820930666
101	0.1817484225
102	0.1815179565
103	0.1810092331
104	0.1807516107
105	0.1803706302
106	0.1801538736
107	0.1797411357
108	0.1795237571
109	0.1791735591
110	0.178939266
111	0.1786588167
112	0.1783868986
113	0.1780966987
114	0.1779058757
115	0.1776054625
116	0.1771243449
117	0.1768429487
118	0.1764798024
119	0.1763316961
120	0.1761695934
121	0.1759414738
122	0.1756664111
123	0.1753974613
124	0.1750172107
125	0.1746459725
126	0.1743934312
127	0.17403846
128	0.1736612465
129	0.1732855832
130	0.1729353032
131	0.1726262281
132	0.1722368549
133	0.1718731507
134	0.1716004053
135	0.1712932124
136	0.1708955028
137	0.1707597672
138	0.1704321174
139	0.1701581548
140	0.169879528
141	0.1695948271
142	0.1692952323
143	0.1691472183
144	0.1688300666
145	0.1686326804
146	0.1684406681
147	0.1682157085
148	0.1678513732
149	0.1677349512
150	0.1674662822
151	0.1671055162
152	0.1667767238
153	0.1665439998
154	0.1662544274
155	0.1660132821
156	0.1658215547
157	0.1655556822
158	0.1652055257
159	0.1650351312
160	0.1648592515
161	0.1646474025
162	0.164417048
163	0.1641509977
